Route,Methods,File,Auth markers,Service imports,Contract imports
/api/v1/documents/[id]/versions/[versionId]/restore,POST,src/app/api/v1/documents/[id]/versions/[versionId]/restore/route.ts,requireSession,@/server/services/document-service,@/shared/contracts/documents
/api/v1/documents/download-zip,POST,src/app/api/v1/documents/download-zip/route.ts,requireSession,,@/shared/contracts/documents
/api/v1/documents/recent,GET,src/app/api/v1/documents/recent/route.ts,requireSession,@/server/services/document-service,@/shared/contracts/documents
/api/v1/documents/search,GET,src/app/api/v1/documents/search/route.ts,requireSession,@/server/services/document-service,@/shared/contracts/documents
/api/v1/envelopes,GET | POST,src/app/api/v1/envelopes/route.ts,requireSession,@/server/services/envelope-service,@/shared/contracts/envelopes
/api/v1/envelopes/[id]/decline,POST,src/app/api/v1/envelopes/[id]/decline/route.ts,requireSession,@/server/services/envelope-service,@/shared/contracts/envelopes
/api/v1/envelopes/[id]/expire,POST,src/app/api/v1/envelopes/[id]/expire/route.ts,requireSession,@/server/services/envelope-service,@/shared/contracts/envelopes
/api/v1/envelopes/[id]/remind,POST,src/app/api/v1/envelopes/[id]/remind/route.ts,requireSession,@/server/services/envelope-service,@/shared/contracts/envelopes
/api/v1/envelopes/[id]/send,POST,src/app/api/v1/envelopes/[id]/send/route.ts,requireSession,@/server/services/envelope-service,@/shared/contracts/envelopes
/api/v1/envelopes/[id]/void,POST,src/app/api/v1/envelopes/[id]/void/route.ts,requireSession,@/server/services/envelope-service,@/shared/contracts/envelopes
/api/v1/envelopes/mark-viewed,POST,src/app/api/v1/envelopes/mark-viewed/route.ts,requireSession,@/server/services/envelope-service,@/shared/contracts/envelopes
/api/v1/envelopes/otp/issue,POST,src/app/api/v1/envelopes/otp/issue/route.ts,requireSession,@/server/services/envelope-service,@/shared/contracts/envelopes
