Frontend file,Line,Usage,Endpoint,Convex export exists,Mock behavior,Unsafe cast,Decision,Status,Notes
src/pages/admin/AdminDocumentGenerator.tsx,20,useMutation,documents.createDocument,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminExpensesPage.tsx,51,useQuery,expenses.list,yes,heuristic match,yes,migrate,inventoried,
src/pages/admin/AdminExpensesPage.tsx,52,useQuery,expenses.getStats,yes,heuristic match,yes,migrate,inventoried,
src/pages/admin/AdminExpensesPage.tsx,53,useQuery,cases.listCases,yes,heuristic match,yes,migrate,inventoried,
src/pages/admin/AdminExpensesPage.tsx,54,useQuery,users.listStaffDirectory,yes,heuristic match,yes,migrate,inventoried,
src/pages/admin/AdminExpensesPage.tsx,56,useMutation,expenses.create,yes,heuristic match,yes,migrate,inventoried,
src/pages/admin/AdminExpensesPage.tsx,57,useMutation,expenses.approve,yes,heuristic match,yes,migrate,inventoried,
src/pages/admin/AdminExpensesPage.tsx,58,useMutation,expenses.remove,yes,heuristic match,yes,migrate,inventoried,
src/pages/admin/AdminFinancePage.tsx,22,useQuery,invoices.listInvoices,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminFinancePage.tsx,23,useQuery,invoices.listTrustTransactions,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminFinancePage.tsx,24,useQuery,timeEntries.listTimeEntries,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminFinancePage.tsx,25,useQuery,cases.listCases,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminFinancePage.tsx,26,useQuery,clients.listClients,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminFinancePage.tsx,28,useMutation,invoices.createInvoiceFromTimeEntries,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminFinancePage.tsx,29,useMutation,invoices.updateInvoiceStatus,yes,no explicit branch detected,no,migrate,inventoried,
src/pages/admin/AdminFinancePage.tsx,30,useMutation,invoices.createTrustTransaction,yes,no explicit branch detected,no,migrate,inventoried,
src/pages/admin/AdminFinancePage.tsx,31,useMutation,communications.sendEmail,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminHRPage.tsx,24,useQuery,users.listUsers,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminHRPage.tsx,25,useQuery,hr.listAttendance,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminHRPage.tsx,26,useQuery,hr.listLeaveRequests,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminHRPage.tsx,27,useQuery,hr.generatePayroll,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminHRPage.tsx,29,useMutation,hr.reviewLeaveRequest,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminHRPage.tsx,30,useMutation,hr.upsertAttendance,yes,heuristic match,no,migrate,inventoried,
